,FID,T7590,T9000,T0015
997,997,6,9,9
998,998,6,9,9
999,999,3,3,3
1000,1000,3,3,1
1001,1001,3,9,9
1002,1002,6,6,9
1003,1003,3,3,6
1004,1004,9,9,9
1005,1005,6,9,9
1006,1006,6,9,9
1007,1007,3,3,3
1008,1008,3,9,9
1009,1009,6,9,9
1010,1010,6,9,9
1011,1011,6,9,9
1012,1012,9,9,9
1013,1013,3,9,9
1014,1014,2,9,9
1015,1015,6,9,9
1016,1016,2,3,3
1017,1017,5,3,3
1018,1018,3,9,9
1019,1019,3,3,3
1020,1020,5,9,3
1021,1021,2,3,3
1022,1022,2,3,6
1023,1023,2,3,3
1024,1024,2,9,9
1025,1025,2,3,3
1026,1026,2,3,3
1027,1027,5,6,6
1028,1028,2,3,3
1029,1029,9,3,9
1030,1030,3,3,6
1031,1031,3,9,9
1032,1032,9,9,9
1033,1033,3,9,6
1034,1034,6,9,9
1035,1035,3,6,6
1036,1036,6,9,9
1037,1037,3,9,3
1038,1038,3,9,9
1039,1039,3,9,9
1040,1040,3,9,9
1041,1041,6,9,3
1042,1042,3,9,9
1043,1043,6,9,9
1044,1044,3,9,9
1045,1045,2,3,3
1046,1046,2,3,6
1047,1047,2,3,6
1048,1048,2,6,6
1049,1049,2,6,9
1050,1050,2,6,3
1051,1051,2,6,3
1052,1052,2,9,6
1053,1053,2,6,9
1054,1054,3,9,9
1055,1055,3,3,6
1056,1056,3,3,6
1057,1057,3,3,3
1058,1058,3,6,3
1059,1059,3,3,3
1060,1060,3,3,6
1061,1061,3,9,9
1062,1062,3,3,3
1063,1063,3,3,3
1064,1064,3,9,9
1065,1065,2,3,3
1066,1066,2,3,3
1067,1067,3,3,3
1068,1068,9,9,9
1069,1069,2,3,3
1070,1070,6,9,9
1071,1071,6,3,3
1072,1072,2,3,3
1073,1073,2,3,3
1074,1074,3,6,3
1075,1075,2,3,3
1076,1076,3,9,6
1077,1077,3,3,3
1078,1078,3,3,3
1079,1079,3,3,3
1080,1080,2,3,3
1081,1081,2,3,3
1082,1082,2,9,6
1083,1083,2,6,3
1084,1084,3,3,3
1085,1085,2,3,3
1086,1086,2,3,3
1087,1087,3,3,3
1088,1088,3,3,3
1089,1089,3,3,3
1090,1090,3,3,3
1091,1091,3,3,3
